idx,Syll-Type,Premise,Hypothesis,label
94749,1,Some Gambians are not Chief executives and all Gambians are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94750,1,Some Gambians are not Childcare workers and all Gambians are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94751,1,Some Gambians are not Chiropractors and all Gambians are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94752,1,Some Gambians are not Civil engineers and all Gambians are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94753,1,Some Gambians are not Clergys and all Gambians are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94754,1,Some Gambians are not Commercial divers and all Gambians are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94755,1,Some Georgians are not Bailiffs and all Georgians are Ephemera collectors.,All Ephemera collectors are Bailiffs.,1
94756,1,Some Georgians are not Bakers and all Georgians are Ephemera collectors.,All Ephemera collectors are Bakers.,1
94757,1,Some Georgians are not Barbers and all Georgians are Ephemera collectors.,All Ephemera collectors are Barbers.,1
94758,1,Some Georgians are not Bartenders and all Georgians are Ephemera collectors.,All Ephemera collectors are Bartenders.,1
94759,1,Some Georgians are not Boilermakers and all Georgians are Ephemera collectors.,All Ephemera collectors are Boilermakers.,1
94760,1,Some Georgians are not Brokerage clerks and all Georgians are Ephemera collectors.,All Ephemera collectors are Brokerage clerks.,1
94761,1,Some Georgians are not Budget analysts and all Georgians are Ephemera collectors.,All Ephemera collectors are Budget analysts.,1
94762,1,Some Georgians are not Carpenters and all Georgians are Ephemera collectors.,All Ephemera collectors are Carpenters.,1
94763,1,Some Georgians are not Cashiers and all Georgians are Ephemera collectors.,All Ephemera collectors are Cashiers.,1
94764,1,Some Georgians are not Chief executives and all Georgians are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94765,1,Some Georgians are not Childcare workers and all Georgians are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94766,1,Some Georgians are not Chiropractors and all Georgians are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94767,1,Some Georgians are not Civil engineers and all Georgians are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94768,1,Some Georgians are not Clergys and all Georgians are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94769,1,Some Georgians are not Commercial divers and all Georgians are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94770,1,Some Germans are not Bailiffs and all Germans are Ephemera collectors.,All Ephemera collectors are Bailiffs.,1
94771,1,Some Germans are not Bakers and all Germans are Ephemera collectors.,All Ephemera collectors are Bakers.,1
94772,1,Some Germans are not Barbers and all Germans are Ephemera collectors.,All Ephemera collectors are Barbers.,1
94773,1,Some Germans are not Bartenders and all Germans are Ephemera collectors.,All Ephemera collectors are Bartenders.,1
94774,1,Some Germans are not Boilermakers and all Germans are Ephemera collectors.,All Ephemera collectors are Boilermakers.,1
94775,1,Some Germans are not Brokerage clerks and all Germans are Ephemera collectors.,All Ephemera collectors are Brokerage clerks.,1
94776,1,Some Germans are not Budget analysts and all Germans are Ephemera collectors.,All Ephemera collectors are Budget analysts.,1
94777,1,Some Germans are not Carpenters and all Germans are Ephemera collectors.,All Ephemera collectors are Carpenters.,1
94778,1,Some Germans are not Cashiers and all Germans are Ephemera collectors.,All Ephemera collectors are Cashiers.,1
94779,1,Some Germans are not Chief executives and all Germans are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94780,1,Some Germans are not Childcare workers and all Germans are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94781,1,Some Germans are not Chiropractors and all Germans are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94782,1,Some Germans are not Civil engineers and all Germans are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94783,1,Some Germans are not Clergys and all Germans are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94784,1,Some Germans are not Commercial divers and all Germans are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94785,1,Some Ghanaians are not Bailiffs and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Bailiffs.,1
94786,1,Some Ghanaians are not Bakers and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Bakers.,1
94787,1,Some Ghanaians are not Barbers and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Barbers.,1
94788,1,Some Ghanaians are not Bartenders and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Bartenders.,1
94789,1,Some Ghanaians are not Boilermakers and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Boilermakers.,1
94790,1,Some Ghanaians are not Brokerage clerks and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Brokerage clerks.,1
94791,1,Some Ghanaians are not Budget analysts and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Budget analysts.,1
94792,1,Some Ghanaians are not Carpenters and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Carpenters.,1
94793,1,Some Ghanaians are not Cashiers and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Cashiers.,1
94794,1,Some Ghanaians are not Chief executives and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94795,1,Some Ghanaians are not Childcare workers and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94796,1,Some Ghanaians are not Chiropractors and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94797,1,Some Ghanaians are not Civil engineers and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94798,1,Some Ghanaians are not Clergys and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94799,1,Some Ghanaians are not Commercial divers and all Ghanaians are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94800,1,Some Gibraltarians are not Bailiffs and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Bailiffs.,1
94801,1,Some Gibraltarians are not Bakers and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Bakers.,1
94802,1,Some Gibraltarians are not Barbers and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Barbers.,1
94803,1,Some Gibraltarians are not Bartenders and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Bartenders.,1
94804,1,Some Gibraltarians are not Boilermakers and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Boilermakers.,1
94805,1,Some Gibraltarians are not Brokerage clerks and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Brokerage clerks.,1
94806,1,Some Gibraltarians are not Budget analysts and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Budget analysts.,1
94807,1,Some Gibraltarians are not Carpenters and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Carpenters.,1
94808,1,Some Gibraltarians are not Cashiers and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Cashiers.,1
94809,1,Some Gibraltarians are not Chief executives and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94810,1,Some Gibraltarians are not Childcare workers and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94811,1,Some Gibraltarians are not Chiropractors and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94812,1,Some Gibraltarians are not Civil engineers and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94813,1,Some Gibraltarians are not Clergys and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94814,1,Some Gibraltarians are not Commercial divers and all Gibraltarians are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94815,1,Some Greeks are not Bailiffs and all Greeks are Ephemera collectors.,All Ephemera collectors are Bailiffs.,1
94816,1,Some Greeks are not Bakers and all Greeks are Ephemera collectors.,All Ephemera collectors are Bakers.,1
94817,1,Some Greeks are not Barbers and all Greeks are Ephemera collectors.,All Ephemera collectors are Barbers.,1
94818,1,Some Greeks are not Bartenders and all Greeks are Ephemera collectors.,All Ephemera collectors are Bartenders.,1
94819,1,Some Greeks are not Boilermakers and all Greeks are Ephemera collectors.,All Ephemera collectors are Boilermakers.,1
94820,1,Some Greeks are not Brokerage clerks and all Greeks are Ephemera collectors.,All Ephemera collectors are Brokerage clerks.,1
94821,1,Some Greeks are not Budget analysts and all Greeks are Ephemera collectors.,All Ephemera collectors are Budget analysts.,1
94822,1,Some Greeks are not Carpenters and all Greeks are Ephemera collectors.,All Ephemera collectors are Carpenters.,1
94823,1,Some Greeks are not Cashiers and all Greeks are Ephemera collectors.,All Ephemera collectors are Cashiers.,1
94824,1,Some Greeks are not Chief executives and all Greeks are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94825,1,Some Greeks are not Childcare workers and all Greeks are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94826,1,Some Greeks are not Chiropractors and all Greeks are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94827,1,Some Greeks are not Civil engineers and all Greeks are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94828,1,Some Greeks are not Clergys and all Greeks are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94829,1,Some Greeks are not Commercial divers and all Greeks are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94830,1,Some Greenlandics are not Bailiffs and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Bailiffs.,1
94831,1,Some Greenlandics are not Bakers and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Bakers.,1
94832,1,Some Greenlandics are not Barbers and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Barbers.,1
94833,1,Some Greenlandics are not Bartenders and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Bartenders.,1
94834,1,Some Greenlandics are not Boilermakers and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Boilermakers.,1
94835,1,Some Greenlandics are not Brokerage clerks and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Brokerage clerks.,1
94836,1,Some Greenlandics are not Budget analysts and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Budget analysts.,1
94837,1,Some Greenlandics are not Carpenters and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Carpenters.,1
94838,1,Some Greenlandics are not Cashiers and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Cashiers.,1
94839,1,Some Greenlandics are not Chief executives and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94840,1,Some Greenlandics are not Childcare workers and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94841,1,Some Greenlandics are not Chiropractors and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94842,1,Some Greenlandics are not Civil engineers and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94843,1,Some Greenlandics are not Clergys and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94844,1,Some Greenlandics are not Commercial divers and all Greenlandics are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94845,1,Some Grenadians are not Bailiffs and all Grenadians are Ephemera collectors.,All Ephemera collectors are Bailiffs.,1
94846,1,Some Grenadians are not Bakers and all Grenadians are Ephemera collectors.,All Ephemera collectors are Bakers.,1
94847,1,Some Grenadians are not Barbers and all Grenadians are Ephemera collectors.,All Ephemera collectors are Barbers.,1
94848,1,Some Grenadians are not Bartenders and all Grenadians are Ephemera collectors.,All Ephemera collectors are Bartenders.,1
94849,1,Some Grenadians are not Boilermakers and all Grenadians are Ephemera collectors.,All Ephemera collectors are Boilermakers.,1
94850,1,Some Grenadians are not Brokerage clerks and all Grenadians are Ephemera collectors.,All Ephemera collectors are Brokerage clerks.,1
94851,1,Some Grenadians are not Budget analysts and all Grenadians are Ephemera collectors.,All Ephemera collectors are Budget analysts.,1
94852,1,Some Grenadians are not Carpenters and all Grenadians are Ephemera collectors.,All Ephemera collectors are Carpenters.,1
94853,1,Some Grenadians are not Cashiers and all Grenadians are Ephemera collectors.,All Ephemera collectors are Cashiers.,1
94854,1,Some Grenadians are not Chief executives and all Grenadians are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94855,1,Some Grenadians are not Childcare workers and all Grenadians are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94856,1,Some Grenadians are not Chiropractors and all Grenadians are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94857,1,Some Grenadians are not Civil engineers and all Grenadians are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94858,1,Some Grenadians are not Clergys and all Grenadians are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94859,1,Some Grenadians are not Commercial divers and all Grenadians are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94860,1,Some Guamanians are not Bailiffs and all Guamanians are Ephemera collectors.,All Ephemera collectors are Bailiffs.,1
94861,1,Some Guamanians are not Bakers and all Guamanians are Ephemera collectors.,All Ephemera collectors are Bakers.,1
94862,1,Some Guamanians are not Barbers and all Guamanians are Ephemera collectors.,All Ephemera collectors are Barbers.,1
94863,1,Some Guamanians are not Bartenders and all Guamanians are Ephemera collectors.,All Ephemera collectors are Bartenders.,1
94864,1,Some Guamanians are not Boilermakers and all Guamanians are Ephemera collectors.,All Ephemera collectors are Boilermakers.,1
94865,1,Some Guamanians are not Brokerage clerks and all Guamanians are Ephemera collectors.,All Ephemera collectors are Brokerage clerks.,1
94866,1,Some Guamanians are not Budget analysts and all Guamanians are Ephemera collectors.,All Ephemera collectors are Budget analysts.,1
94867,1,Some Guamanians are not Carpenters and all Guamanians are Ephemera collectors.,All Ephemera collectors are Carpenters.,1
94868,1,Some Guamanians are not Cashiers and all Guamanians are Ephemera collectors.,All Ephemera collectors are Cashiers.,1
94869,1,Some Guamanians are not Chief executives and all Guamanians are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94870,1,Some Guamanians are not Childcare workers and all Guamanians are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94871,1,Some Guamanians are not Chiropractors and all Guamanians are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94872,1,Some Guamanians are not Civil engineers and all Guamanians are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94873,1,Some Guamanians are not Clergys and all Guamanians are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94874,1,Some Guamanians are not Commercial divers and all Guamanians are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94875,1,Some Guatemalans are not Bailiffs and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Bailiffs.,1
94876,1,Some Guatemalans are not Bakers and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Bakers.,1
94877,1,Some Guatemalans are not Barbers and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Barbers.,1
94878,1,Some Guatemalans are not Bartenders and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Bartenders.,1
94879,1,Some Guatemalans are not Boilermakers and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Boilermakers.,1
94880,1,Some Guatemalans are not Brokerage clerks and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Brokerage clerks.,1
94881,1,Some Guatemalans are not Budget analysts and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Budget analysts.,1
94882,1,Some Guatemalans are not Carpenters and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Carpenters.,1
94883,1,Some Guatemalans are not Cashiers and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Cashiers.,1
94884,1,Some Guatemalans are not Chief executives and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94885,1,Some Guatemalans are not Childcare workers and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94886,1,Some Guatemalans are not Chiropractors and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94887,1,Some Guatemalans are not Civil engineers and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94888,1,Some Guatemalans are not Clergys and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94889,1,Some Guatemalans are not Commercial divers and all Guatemalans are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94890,1,Some Guineans are not Bailiffs and all Guineans are Ephemera collectors.,All Ephemera collectors are Bailiffs.,1
94891,1,Some Guineans are not Bakers and all Guineans are Ephemera collectors.,All Ephemera collectors are Bakers.,1
94892,1,Some Guineans are not Barbers and all Guineans are Ephemera collectors.,All Ephemera collectors are Barbers.,1
94893,1,Some Guineans are not Bartenders and all Guineans are Ephemera collectors.,All Ephemera collectors are Bartenders.,1
94894,1,Some Guineans are not Boilermakers and all Guineans are Ephemera collectors.,All Ephemera collectors are Boilermakers.,1
94895,1,Some Guineans are not Brokerage clerks and all Guineans are Ephemera collectors.,All Ephemera collectors are Brokerage clerks.,1
94896,1,Some Guineans are not Budget analysts and all Guineans are Ephemera collectors.,All Ephemera collectors are Budget analysts.,1
94897,1,Some Guineans are not Carpenters and all Guineans are Ephemera collectors.,All Ephemera collectors are Carpenters.,1
94898,1,Some Guineans are not Cashiers and all Guineans are Ephemera collectors.,All Ephemera collectors are Cashiers.,1
94899,1,Some Guineans are not Chief executives and all Guineans are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94900,1,Some Guineans are not Childcare workers and all Guineans are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94901,1,Some Guineans are not Chiropractors and all Guineans are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94902,1,Some Guineans are not Civil engineers and all Guineans are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94903,1,Some Guineans are not Clergys and all Guineans are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94904,1,Some Guineans are not Commercial divers and all Guineans are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94905,1,Some Guyanese are not Bailiffs and all Guyanese are Ephemera collectors.,All Ephemera collectors are Bailiffs.,1
94906,1,Some Guyanese are not Bakers and all Guyanese are Ephemera collectors.,All Ephemera collectors are Bakers.,1
94907,1,Some Guyanese are not Barbers and all Guyanese are Ephemera collectors.,All Ephemera collectors are Barbers.,1
94908,1,Some Guyanese are not Bartenders and all Guyanese are Ephemera collectors.,All Ephemera collectors are Bartenders.,1
94909,1,Some Guyanese are not Boilermakers and all Guyanese are Ephemera collectors.,All Ephemera collectors are Boilermakers.,1
94910,1,Some Guyanese are not Brokerage clerks and all Guyanese are Ephemera collectors.,All Ephemera collectors are Brokerage clerks.,1
94911,1,Some Guyanese are not Budget analysts and all Guyanese are Ephemera collectors.,All Ephemera collectors are Budget analysts.,1
94912,1,Some Guyanese are not Carpenters and all Guyanese are Ephemera collectors.,All Ephemera collectors are Carpenters.,1
94913,1,Some Guyanese are not Cashiers and all Guyanese are Ephemera collectors.,All Ephemera collectors are Cashiers.,1
94914,1,Some Guyanese are not Chief executives and all Guyanese are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94915,1,Some Guyanese are not Childcare workers and all Guyanese are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94916,1,Some Guyanese are not Chiropractors and all Guyanese are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94917,1,Some Guyanese are not Civil engineers and all Guyanese are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94918,1,Some Guyanese are not Clergys and all Guyanese are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94919,1,Some Guyanese are not Commercial divers and all Guyanese are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94920,1,Some Haitians are not Bailiffs and all Haitians are Ephemera collectors.,All Ephemera collectors are Bailiffs.,1
94921,1,Some Haitians are not Bakers and all Haitians are Ephemera collectors.,All Ephemera collectors are Bakers.,1
94922,1,Some Haitians are not Barbers and all Haitians are Ephemera collectors.,All Ephemera collectors are Barbers.,1
94923,1,Some Haitians are not Bartenders and all Haitians are Ephemera collectors.,All Ephemera collectors are Bartenders.,1
94924,1,Some Haitians are not Boilermakers and all Haitians are Ephemera collectors.,All Ephemera collectors are Boilermakers.,1
94925,1,Some Haitians are not Brokerage clerks and all Haitians are Ephemera collectors.,All Ephemera collectors are Brokerage clerks.,1
94926,1,Some Haitians are not Budget analysts and all Haitians are Ephemera collectors.,All Ephemera collectors are Budget analysts.,1
94927,1,Some Haitians are not Carpenters and all Haitians are Ephemera collectors.,All Ephemera collectors are Carpenters.,1
94928,1,Some Haitians are not Cashiers and all Haitians are Ephemera collectors.,All Ephemera collectors are Cashiers.,1
94929,1,Some Haitians are not Chief executives and all Haitians are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94930,1,Some Haitians are not Childcare workers and all Haitians are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94931,1,Some Haitians are not Chiropractors and all Haitians are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94932,1,Some Haitians are not Civil engineers and all Haitians are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94933,1,Some Haitians are not Clergys and all Haitians are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94934,1,Some Haitians are not Commercial divers and all Haitians are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94935,1,Some Hondurans are not Bailiffs and all Hondurans are Ephemera collectors.,All Ephemera collectors are Bailiffs.,1
94936,1,Some Hondurans are not Bakers and all Hondurans are Ephemera collectors.,All Ephemera collectors are Bakers.,1
94937,1,Some Hondurans are not Barbers and all Hondurans are Ephemera collectors.,All Ephemera collectors are Barbers.,1
94938,1,Some Hondurans are not Bartenders and all Hondurans are Ephemera collectors.,All Ephemera collectors are Bartenders.,1
94939,1,Some Hondurans are not Boilermakers and all Hondurans are Ephemera collectors.,All Ephemera collectors are Boilermakers.,1
94940,1,Some Hondurans are not Brokerage clerks and all Hondurans are Ephemera collectors.,All Ephemera collectors are Brokerage clerks.,1
94941,1,Some Hondurans are not Budget analysts and all Hondurans are Ephemera collectors.,All Ephemera collectors are Budget analysts.,1
94942,1,Some Hondurans are not Carpenters and all Hondurans are Ephemera collectors.,All Ephemera collectors are Carpenters.,1
94943,1,Some Hondurans are not Cashiers and all Hondurans are Ephemera collectors.,All Ephemera collectors are Cashiers.,1
94944,1,Some Hondurans are not Chief executives and all Hondurans are Ephemera collectors.,All Ephemera collectors are Chief executives.,1
94945,1,Some Hondurans are not Childcare workers and all Hondurans are Ephemera collectors.,All Ephemera collectors are Childcare workers.,1
94946,1,Some Hondurans are not Chiropractors and all Hondurans are Ephemera collectors.,All Ephemera collectors are Chiropractors.,1
94947,1,Some Hondurans are not Civil engineers and all Hondurans are Ephemera collectors.,All Ephemera collectors are Civil engineers.,1
94948,1,Some Hondurans are not Clergys and all Hondurans are Ephemera collectors.,All Ephemera collectors are Clergys.,1
94949,1,Some Hondurans are not Commercial divers and all Hondurans are Ephemera collectors.,All Ephemera collectors are Commercial divers.,1
94950,1,Some Gabonese are not Bailiffs and all Gabonese are Films collectors.,All Films collectors are Bailiffs.,1
94951,1,Some Gabonese are not Bakers and all Gabonese are Films collectors.,All Films collectors are Bakers.,1
94952,1,Some Gabonese are not Barbers and all Gabonese are Films collectors.,All Films collectors are Barbers.,1
94953,1,Some Gabonese are not Bartenders and all Gabonese are Films collectors.,All Films collectors are Bartenders.,1
94954,1,Some Gabonese are not Boilermakers and all Gabonese are Films collectors.,All Films collectors are Boilermakers.,1
94955,1,Some Gabonese are not Brokerage clerks and all Gabonese are Films collectors.,All Films collectors are Brokerage clerks.,1
94956,1,Some Gabonese are not Budget analysts and all Gabonese are Films collectors.,All Films collectors are Budget analysts.,1
94957,1,Some Gabonese are not Carpenters and all Gabonese are Films collectors.,All Films collectors are Carpenters.,1
94958,1,Some Gabonese are not Cashiers and all Gabonese are Films collectors.,All Films collectors are Cashiers.,1
94959,1,Some Gabonese are not Chief executives and all Gabonese are Films collectors.,All Films collectors are Chief executives.,1
94960,1,Some Gabonese are not Childcare workers and all Gabonese are Films collectors.,All Films collectors are Childcare workers.,1
94961,1,Some Gabonese are not Chiropractors and all Gabonese are Films collectors.,All Films collectors are Chiropractors.,1
94962,1,Some Gabonese are not Civil engineers and all Gabonese are Films collectors.,All Films collectors are Civil engineers.,1
94963,1,Some Gabonese are not Clergys and all Gabonese are Films collectors.,All Films collectors are Clergys.,1
94964,1,Some Gabonese are not Commercial divers and all Gabonese are Films collectors.,All Films collectors are Commercial divers.,1
94965,1,Some Gambians are not Bailiffs and all Gambians are Films collectors.,All Films collectors are Bailiffs.,1
94966,1,Some Gambians are not Bakers and all Gambians are Films collectors.,All Films collectors are Bakers.,1
94967,1,Some Gambians are not Barbers and all Gambians are Films collectors.,All Films collectors are Barbers.,1
94968,1,Some Gambians are not Bartenders and all Gambians are Films collectors.,All Films collectors are Bartenders.,1
94969,1,Some Gambians are not Boilermakers and all Gambians are Films collectors.,All Films collectors are Boilermakers.,1
94970,1,Some Gambians are not Brokerage clerks and all Gambians are Films collectors.,All Films collectors are Brokerage clerks.,1
94971,1,Some Gambians are not Budget analysts and all Gambians are Films collectors.,All Films collectors are Budget analysts.,1
94972,1,Some Gambians are not Carpenters and all Gambians are Films collectors.,All Films collectors are Carpenters.,1
94973,1,Some Gambians are not Cashiers and all Gambians are Films collectors.,All Films collectors are Cashiers.,1
94974,1,Some Gambians are not Chief executives and all Gambians are Films collectors.,All Films collectors are Chief executives.,1
94975,1,Some Gambians are not Childcare workers and all Gambians are Films collectors.,All Films collectors are Childcare workers.,1
94976,1,Some Gambians are not Chiropractors and all Gambians are Films collectors.,All Films collectors are Chiropractors.,1
94977,1,Some Gambians are not Civil engineers and all Gambians are Films collectors.,All Films collectors are Civil engineers.,1
94978,1,Some Gambians are not Clergys and all Gambians are Films collectors.,All Films collectors are Clergys.,1
94979,1,Some Gambians are not Commercial divers and all Gambians are Films collectors.,All Films collectors are Commercial divers.,1
94980,1,Some Georgians are not Bailiffs and all Georgians are Films collectors.,All Films collectors are Bailiffs.,1
94981,1,Some Georgians are not Bakers and all Georgians are Films collectors.,All Films collectors are Bakers.,1
94982,1,Some Georgians are not Barbers and all Georgians are Films collectors.,All Films collectors are Barbers.,1
94983,1,Some Georgians are not Bartenders and all Georgians are Films collectors.,All Films collectors are Bartenders.,1
94984,1,Some Georgians are not Boilermakers and all Georgians are Films collectors.,All Films collectors are Boilermakers.,1
94985,1,Some Georgians are not Brokerage clerks and all Georgians are Films collectors.,All Films collectors are Brokerage clerks.,1
94986,1,Some Georgians are not Budget analysts and all Georgians are Films collectors.,All Films collectors are Budget analysts.,1
94987,1,Some Georgians are not Carpenters and all Georgians are Films collectors.,All Films collectors are Carpenters.,1
94988,1,Some Georgians are not Cashiers and all Georgians are Films collectors.,All Films collectors are Cashiers.,1
94989,1,Some Georgians are not Chief executives and all Georgians are Films collectors.,All Films collectors are Chief executives.,1
94990,1,Some Georgians are not Childcare workers and all Georgians are Films collectors.,All Films collectors are Childcare workers.,1
94991,1,Some Georgians are not Chiropractors and all Georgians are Films collectors.,All Films collectors are Chiropractors.,1
94992,1,Some Georgians are not Civil engineers and all Georgians are Films collectors.,All Films collectors are Civil engineers.,1
94993,1,Some Georgians are not Clergys and all Georgians are Films collectors.,All Films collectors are Clergys.,1
94994,1,Some Georgians are not Commercial divers and all Georgians are Films collectors.,All Films collectors are Commercial divers.,1
94995,1,Some Germans are not Bailiffs and all Germans are Films collectors.,All Films collectors are Bailiffs.,1
94996,1,Some Germans are not Bakers and all Germans are Films collectors.,All Films collectors are Bakers.,1
94997,1,Some Germans are not Barbers and all Germans are Films collectors.,All Films collectors are Barbers.,1
94998,1,Some Germans are not Bartenders and all Germans are Films collectors.,All Films collectors are Bartenders.,1
94999,1,Some Germans are not Boilermakers and all Germans are Films collectors.,All Films collectors are Boilermakers.,1
95000,1,Some Germans are not Brokerage clerks and all Germans are Films collectors.,All Films collectors are Brokerage clerks.,1
95001,1,Some Germans are not Budget analysts and all Germans are Films collectors.,All Films collectors are Budget analysts.,1
